                                                                                            List of relations
 Schema |                              Name                               | Type  |   Owner    |                     Table                      | Persistence | Access method |    Size    | Description 
 public | django_celery_beat_clockedschedule_pkey                         | index | admin_prod | django_celery_beat_clockedschedule             | permanent   | btree         | 8192 bytes | 
 public | django_celery_beat_crontabschedule_pkey                         | index | admin_prod | django_celery_beat_crontabschedule             | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_intervalschedule_pkey                        | index | admin_prod | django_celery_beat_intervalschedule            | permanent   | btree         | 8192 bytes | 
 public | django_celery_beat_periodictask_clocked_id_47a69f82             | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_crontab_id_d3cba168             | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_interval_id_a8ca27da            | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_name_265a36b7_like              | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_name_key                        | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_pkey                            | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictask_solar_id_a87ce72c               | index | admin_prod | django_celery_beat_periodictask                | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_periodictasks_pkey                           | index | admin_prod | django_celery_beat_periodictasks               | permanent   | btree         | 16 kB      | 
 public | django_celery_beat_solar_event_latitude_longitude_ba64999a_uniq | index | admin_prod | django_celery_beat_solarschedule               | permanent   | btree         | 8192 bytes | 
 public | django_celery_beat_solarschedule_pkey                           | index | admin_prod | django_celery_beat_solarschedule               | permanent   | btree         | 8192 bytes | 
 public | django_content_type_app_label_model_76bd3d3b_uniq               | index | admin_prod | django_content_type                            | permanent   | btree         | 16 kB      | 
 public | django_content_type_pkey                                        | index | admin_prod | django_content_type                            | permanent   | btree         | 16 kB      | 
 public | django_migrations_pkey                                          | index | admin_prod | django_migrations                              | permanent   | btree         | 16 kB      | 
